iteration,timesteps,fps,collection_time,learn_time,value_loss,surrogate_loss,kl_to_base,mean_noise_std,mean_reward,mean_episode_length
0,98304,21224,4.273361682891846,0.35823488235473633,1.5228352785110473,0.006949663459090516,2.701463782787323,0.34815430641174316,0.8531678815593478,11.3
10,1081344,87588,0.8942093849182129,0.22812461853027344,4.228840470314026,-0.002074009483476402,2.5984760403633116,0.3463890254497528,30.679767898553983,207.69
20,2064384,87164,0.8948438167572021,0.23295259475708008,3.384472155570984,-0.0026826544912182727,2.6587801218032836,0.3463587760925293,52.709920907914636,368.91
30,3047424,86556,0.902775764465332,0.2329392433166504,3.1773819446563722,-0.002892564710782608,2.651714873313904,0.34673261642456055,67.8365662727505,549.29
40,4030464,86146,0.905937671661377,0.23519206047058105,3.8427038908004763,-0.0036588928662240503,2.9955799698829653,0.34684962034225464,74.25586396245984,612.21
50,5013504,16080,5.878977537155151,0.23417258262634277,4.86763174533844,-0.002781822148244828,3.3640905261039733,0.34706076979637146,74.26465432949364,656.73
60,5996544,86229,0.9056911468505859,0.23433876037597656,5.619828772544861,-0.0041539730329532175,3.4736618995666504,0.3463876247406006,69.66485700319521,598.47
70,6979584,85869,0.9098622798919678,0.2349381446838379,8.490629816055298,-0.004632374430366326,3.544036161899567,0.3474360704421997,79.91988703735173,477.19
80,7962624,85781,0.9103820323944092,0.235595703125,9.536342668533326,-0.003189503606699873,3.7558231472969057,0.3479000926017761,101.05451398096979,431.83
90,8945664,85585,0.911184549331665,0.23741650581359863,12.282670402526856,-0.0037400787841761485,4.601600337028503,0.34815043210983276,91.73429274156689,348.49
100,9928704,86134,0.9170083999633789,0.22427034378051758,12.870572280883788,-0.003794727569038514,4.644996404647827,0.3491116762161255,81.61759750753642,286.72
110,10911744,86237,0.9169516563415527,0.22297167778015137,12.727724695205689,-0.0036073280440177768,4.661831641197205,0.3492248058319092,79.51011639505624,198.43
120,11894784,84868,0.9220774173736572,0.23622941970825195,12.568315029144287,-0.004016954060352873,4.460110688209534,0.3488810062408447,67.60087156794965,203.1
130,12877824,85053,0.9175400733947754,0.23824715614318848,11.297235822677612,-0.004396391534828581,4.386383390426635,0.34893953800201416,71.16009628370404,191.68
140,13860864,85639,0.9136171340942383,0.23427104949951172,11.696460151672364,-0.00436865336378105,4.717071771621704,0.34864434599876404,58.74059359766543,194.12
150,14843904,85748,0.9120364189147949,0.23438596725463867,12.834121036529542,-0.004514499427750706,4.783272433280945,0.3485376536846161,65.74177087893709,200.77
160,15826944,84959,0.9216117858886719,0.2354576587677002,13.352162933349609,-0.00461603436851874,5.325425148010254,0.3486226499080658,68.78764590471982,169.83
170,16809984,85042,0.9194560050964355,0.23648977279663086,14.513726997375489,-0.0038125418286654167,5.569623184204102,0.34957680106163025,71.44905182152986,162.9
180,17793024,85341,0.9168319702148438,0.23505163192749023,14.002681064605714,-0.004172116616973654,5.735667705535889,0.3488951325416565,96.65825115785003,213.7
190,18776064,83135,0.9439606666564941,0.23849940299987793,14.672502708435058,-0.004219735146034509,5.760876035690307,0.3496108651161194,87.09446765094995,202.54
200,19759104,85432,0.9139869213104248,0.23667144775390625,16.67048602104187,-0.004417179772281088,5.728929662704468,0.34937143325805664,114.80157130446285,257.34
